5
64 10
1 41 59
0 57 62
1 10 43
0 16 20
1 18 53
1 10 32
0 9 45
0 16 38
1 15 44
0 0 15
11 56
1 0 7
1 0 5
1 0 6
0 5 7
0 5 9
1 7 8
1 8 10
0 2 10
0 5 10
1 1 3
0 2 4
0 2 6
1 6 6
0 2 2
0 0 5
0 3 4
1 0 2
1 0 8
1 8 10
0 0 10
0 0 1
1 1 7
0 0 5
1 0 7
1 1 5
1 0 3
0 1 6
0 3 7
1 4 10
0 3 7
1 4 8
1 0 7
1 0 6
1 7 7
0 2 10
0 2 8
1 1 5
0 5 7
0 0 3
0 0 1
1 6 9
1 4 6
1 7 8
0 0 4
1 2 2
1 3 10
0 3 7
0 7 8
0 0 6
0 4 9
1 8 9
1 0 1
1 7 8
1 4 6
0 6 8
1 3 9
51 61
1 12 44
1 22 47
1 40 41
1 6 8
0 3 19
0 3 21
0 20 37
0 0 43
1 10 24
1 13 19
0 11 37
1 7 17
0 33 47
0 4 27
0 5 28
0 7 8
1 17 28
0 43 46
1 17 19
1 6 36
1 18 44
1 9 13
0 17 29
1 9 46
1 24 49
0 31 32
0 22 35
1 15 24
1 6 13
1 37 42
1 3 35
0 6 22
0 16 25
0 21 35
0 2 33
0 14 40
0 9 24
1 31 48
0 24 35
0 34 46
0 0 23
0 9 29
1 19 28
0 37 40
1 16 17
0 5 46
0 5 14
1 37 46
1 7 44
1 1 34
0 1 27
1 10 29
1 3 12
0 28 50
1 11 16
1 27 37
0 7 42
0 28 36
0 35 36
0 18 45
0 19 49
61 6
1 48 57
1 7 43
1 13 45
0 47 60
0 41 42
1 24 59
52 26
0 6 30
0 33 51
0 17 40
0 3 12
1 24 50
0 0 51
1 15 34
0 20 41
0 20 48
0 5 8
0 38 51
0 46 47
1 35 38
0 24 35
0 48 51
1 32 48
1 14 39
1 4 11
0 0 49
0 6 28
0 33 38
1 2 3
1 42 46
1 1 3
1 28 43
1 5 8
