15
203 127 186
58 57 175 57
85 14 191 14
13 29 87 29
150 7 152 7
141 43 152 43
136 36 177 36
65 3 150 3
40 36 115 36
33 19 104 19
110 58 158 58
84 17 94 17
20 22 194 22
115 3 141 3
148 27 183 27
146 50 177 50
94 6 113 6
108 59 111 59
93 82 138 82
155 81 165 81
118 0 182 0
2 5 142 5
124 1 134 1
12 55 122 55
29 101 52 101
102 78 105 78
73 77 170 77
78 11 186 11
19 25 98 25
10 44 178 44
44 69 180 69
90 50 129 50
58 75 65 75
49 52 185 52
45 75 95 75
4 58 110 58
5 19 68 19
52 40 148 40
140 3 176 3
92 50 173 50
37 8 71 8
93 27 169 27
26 63 171 63
47 62 61 62
10 9 17 9
118 2 121 2
55 8 87 8
21 16 43 16
19 99 131 99
60 16 71 16
72 16 81 16
80 68 127 68
5 32 60 32
126 59 147 59
52 110 159 110
14 2 77 2
58 57 109 57
65 45 168 45
17 120 32 120
139 4 195 4
19 55 30 55
88 50 156 50
75 42 134 42
145 4 177 4
83 17 161 17
46 89 148 89
59 50 136 50
163 13 179 13
29 19 126 19
21 107 72 107
114 53 115 53
120 18 137 18
35 28 129 28
108 65 131 65
14 47 63 47
145 102 157 102
84 48 175 48
54 28 177 28
17 52 91 52
6 11 72 11
51 20 142 20
61 30 107 30
22 18 88 18
126 107 131 107
69 91 186 91
44 50 169 50
95 66 123 66
35 50 85 50
21 38 61 38
44 62 179 62
125 3 169 3
141 1 154 1
124 67 195 67
134 12 192 12
1 63 48 63
36 77 184 77
134 6 138 6
33 5 102 5
76 8 161 8
101 94 138 94
58 31 130 31
39 72 94 72
43 40 89 40
152 1 196 1
21 60 146 60
114 67 172 67
22 1 176 1
2 24 110 24
71 52 178 52
77 19 121 19
138 20 151 20
16 12 134 12
171 93 202 93
173 3 179 3
118 107 183 107
47 69 120 69
79 52 119 52
91 70 161 70
49 6 77 6
14 50 191 50
89 36 111 36
2 26 131 26
12 5 36 5
58 48 68 48
12 37 97 37
56 29 106 29
90 56 184 56
45 48 67 48
92 61 179 61
104 19 170 19
146 8 169 8
57 48 64 48
99 24 147 24
169 41 179 41
12 38 97 38
83 76 200 76
59 52 159 52
135 34 173 34
43 25 164 25
13 34 61 34
28 16 185 16
163 63 195 63
10 51 62 51
81 72 200 72
8 61 110 61
61 30 123 30
169 41 171 41
200 99 201 99
55 31 122 31
95 12 181 12
63 97 139 97
118 10 162 10
75 21 108 21
