Case 1
   Query 1: 456
   Query 2: 608
   Query 3: 608
   Query 4: 624
   Query 5: 672
   Query 6: 0
   Query 7: 576
   Query 8: 304
   Query 9: 456
   Query 10: 816
   Query 11: 304
   Query 12: 240
   Query 13: 112
   Query 14: 0
   Query 15: 48
   Query 16: 608
   Query 17: 0
   Query 18: 608
   Query 19: 24
   Query 20: 304
   Query 21: 240
   Query 22: 288
   Query 23: 0
   Query 24: 672
   Query 25: 96
   Query 26: 684
   Query 27: 384
   Query 28: 576
   Query 29: 840
   Query 30: 456
   Query 31: 228
   Query 32: 684
   Query 33: 456
   Query 34: 0
   Query 35: 0
   Query 36: 0
   Query 37: 0
   Query 38: 48
   Query 39: 720
   Query 40: 684
   Query 41: 304
   Query 42: 336
   Query 43: 192
   Query 44: 456
   Query 45: 760
   Query 46: 304
   Query 47: 0
   Query 48: 0
   Query 49: 456
   Query 50: 0
   Query 51: 480
   Query 52: 0
   Query 53: 816
   Query 54: 0
   Query 55: 0
   Query 56: 456
   Query 57: 323
   Query 58: 760
   Query 59: 160
   Query 60: 0
   Query 61: 192
   Query 62: 0
   Query 63: 480
   Query 64: 760
   Query 65: 456
   Query 66: 690
   Query 67: 608
   Query 68: 816
   Query 69: 456
   Query 70: 0
   Query 71: 570
   Query 72: 228
   Query 73: 0
   Query 74: 432
   Query 75: 288
   Query 76: 240
   Query 77: 696
   Query 78: 0
   Query 79: 516
   Query 80: 336
   Query 81: 480
   Query 82: 152
   Query 83: 684
   Query 84: 0
   Query 85: 114
   Query 86: 672
   Query 87: 0
   Query 88: 0
   Query 89: 336
   Query 90: 392
   Query 91: 528
   Query 92: 144
   Query 93: 650
   Query 94: 624
   Query 95: 0
   Query 96: 408
   Query 97: 720
   Query 98: 528
   Query 99: 0
   Query 100: 0
   Query 101: 0
   Query 102: 256
   Query 103: 640
   Query 104: 0
   Query 105: 816
   Query 106: 672
   Query 107: 708
   Query 108: 0
   Query 109: 0
   Query 110: 834
   Query 111: 48
   Query 112: 0
   Query 113: 896
   Query 114: 0
   Query 115: 480
   Query 116: 0
   Query 117: 456
   Query 118: 144
   Query 119: 624
   Query 120: 456
   Query 121: 504
   Query 122: 624
   Query 123: 36
   Query 124: 0
   Query 125: 0
   Query 126: 0
   Query 127: 600
   Query 128: 144
   Query 129: 144
   Query 130: 152
   Query 131: 732
   Query 132: 336
   Query 133: 772
   Query 134: 576
   Query 135: 816
   Query 136: 0
   Query 137: 456
   Query 138: 312
   Query 139: 0
   Query 140: 0
   Query 141: 528
   Query 142: 456
   Query 143: 0
   Query 144: 336
   Query 145: 480
   Query 146: 532
   Query 147: 72
   Query 148: 0
   Query 149: 0
   Query 150: 816
   Query 151: 368
   Query 152: 0
   Query 153: 824
   Query 154: 608
   Query 155: 720
   Query 156: 0
   Query 157: 608
   Query 158: 336
   Query 159: 144
   Query 160: 336
   Query 161: 864
   Query 162: 276
   Query 163: 144
   Query 164: 384
   Query 165: 608
   Query 166: 456
   Query 167: 72
   Query 168: 228
   Query 169: 0
   Query 170: 498
   Query 171: 528
   Query 172: 684
   Query 173: 0
   Query 174: 0
   Query 175: 0
   Query 176: 0
   Query 177: 640
   Query 178: 228
   Query 179: 864
   Query 180: 798
   Query 181: 684
   Query 182: 144
   Query 183: 0
   Query 184: 792
   Query 185: 144
   Query 186: 192
Case 2
   Query 1: 893
   Query 2: 642
   Query 3: 684
   Query 4: 528
   Query 5: 228
   Query 6: 378
   Query 7: 0
   Query 8: 456
   Query 9: 684
   Query 10: 114
   Query 11: 76
   Query 12: 456
   Query 13: 456
   Query 14: 456
   Query 15: 429
   Query 16: 0
   Query 17: 228
   Query 18: 0
   Query 19: 684
   Query 20: 306
   Query 21: 456
   Query 22: 684
   Query 23: 228
   Query 24: 456
   Query 25: 684
   Query 26: 576
   Query 27: 96
   Query 28: 456
   Query 29: 228
   Query 30: 384
   Query 31: 252
   Query 32: 684
   Query 33: 528
   Query 34: 456
   Query 35: 456
   Query 36: 0
   Query 37: 228
   Query 38: 168
   Query 39: 21
   Query 40: 528
   Query 41: 576
   Query 42: 0
   Query 43: 456
   Query 44: 456
   Query 45: 744
   Query 46: 876
   Query 47: 0
   Query 48: 120
   Query 49: 228
   Query 50: 456
   Query 51: 228
   Query 52: 0
   Query 53: 684
   Query 54: 456
   Query 55: 228
   Query 56: 684
   Query 57: 0
   Query 58: 0
   Query 59: 456
   Query 60: 0
   Query 61: 228
   Query 62: 0
   Query 63: 684
   Query 64: 684
   Query 65: 684
   Query 66: 144
   Query 67: 240
   Query 68: 456
   Query 69: 0
   Query 70: 0
   Query 71: 722
   Query 72: 228
   Query 73: 228
   Query 74: 570
   Query 75: 342
   Query 76: 285
   Query 77: 684
   Query 78: 234
   Query 79: 633
   Query 80: 456
   Query 81: 456
   Query 82: 516
   Query 83: 456
   Query 84: 456
   Query 85: 228
   Query 86: 228
   Query 87: 684
   Query 88: 228
   Query 89: 228
   Query 90: 684
   Query 91: 0
   Query 92: 72
   Query 93: 171
   Query 94: 114
   Query 95: 456
   Query 96: 399
   Query 97: 399
   Query 98: 0
   Query 99: 228
   Query 100: 684
   Query 101: 399
   Query 102: 456
   Query 103: 684
   Query 104: 864
   Query 105: 684
   Query 106: 456
   Query 107: 114
   Query 108: 0
   Query 109: 798
   Query 110: 0
   Query 111: 228
   Query 112: 228
   Query 113: 456
   Query 114: 456
   Query 115: 684
   Query 116: 684
   Query 117: 684
   Query 118: 114
   Query 119: 456
   Query 120: 0
   Query 121: 684
   Query 122: 228
   Query 123: 336
   Query 124: 228
   Query 125: 144
   Query 126: 456
   Query 127: 456
   Query 128: 456
   Query 129: 228
   Query 130: 684
   Query 131: 228
   Query 132: 228
   Query 133: 456
   Query 134: 798
   Query 135: 0
   Query 136: 558
   Query 137: 0
   Query 138: 0
   Query 139: 0
   Query 140: 228
   Query 141: 492
   Query 142: 0
   Query 143: 285
   Query 144: 0
   Query 145: 720
   Query 146: 456
   Query 147: 570
   Query 148: 300
   Query 149: 456
   Query 150: 228
   Query 151: 456
   Query 152: 684
   Query 153: 456
   Query 154: 480
   Query 155: 0
   Query 156: 798
   Query 157: 0
   Query 158: 456
   Query 159: 798
   Query 160: 684
   Query 161: 456
   Query 162: 684
   Query 163: 627
   Query 164: 0
   Query 165: 456
   Query 166: 456
   Query 167: 342
   Query 168: 342
   Query 169: 0
   Query 170: 0
   Query 171: 0
   Query 172: 456
   Query 173: 504
   Query 174: 0
   Query 175: 0
   Query 176: 798
   Query 177: 228
   Query 178: 888
   Query 179: 408
   Query 180: 456
   Query 181: 456
   Query 182: 228
   Query 183: 600
   Query 184: 456
   Query 185: 342
   Query 186: 0
   Query 187: 570
   Query 188: 228
   Query 189: 228
   Query 190: 228
   Query 191: 456
   Query 192: 228
   Query 193: 0
   Query 194: 228
   Query 195: 456
   Query 196: 0
   Query 197: 228
   Query 198: 342
   Query 199: 798
   Query 200: 798
   Query 201: 540
   Query 202: 228
   Query 203: 456
   Query 204: 456
   Query 205: 741
   Query 206: 684
   Query 207: 456
   Query 208: 708
   Query 209: 684
   Query 210: 0
   Query 211: 0
   Query 212: 456
   Query 213: 60
   Query 214: 0
   Query 215: 456
   Query 216: 228
   Query 217: 456
   Query 218: 456
   Query 219: 855
   Query 220: 684
   Query 221: 228
   Query 222: 0
   Query 223: 756
   Query 224: 0
   Query 225: 456
   Query 226: 0
   Query 227: 456
   Query 228: 0
   Query 229: 552
   Query 230: 0
   Query 231: 456
   Query 232: 228
   Query 233: 0
   Query 234: 0
   Query 235: 228
   Query 236: 0
   Query 237: 0
   Query 238: 342
   Query 239: 456
   Query 240: 228
   Query 241: 0
   Query 242: 456
   Query 243: 228
   Query 244: 456
   Query 245: 852
   Query 246: 627
   Query 247: 0
   Query 248: 456
   Query 249: 0
   Query 250: 0
   Query 251: 324
   Query 252: 516
   Query 253: 456
   Query 254: 684
   Query 255: 0
   Query 256: 114
   Query 257: 114
   Query 258: 267
   Query 259: 228
   Query 260: 0
   Query 261: 0
   Query 262: 684
   Query 263: 0
   Query 264: 684
   Query 265: 456
   Query 266: 684
   Query 267: 108
   Query 268: 456
   Query 269: 684
   Query 270: 228
   Query 271: 0
   Query 272: 0
   Query 273: 285
   Query 274: 504
   Query 275: 836
